benchmark,methods,pop_size,generations,run ke-1,run ke-2,run ke-3,run ke-4,run ke-5,run ke-6,run ke-7,run ke-8,run ke-9,run ke-10,run ke-11,run ke-12,run ke-13,run ke-14,run ke-15,run ke-16,run ke-17,run ke-18,run ke-19,run ke-20
X-n106-k14,CARI,50,47,37279.65385,36043.63462,37756.96346,36624.69231,37817.30962,37866.00769,37548.65577,36821.62308,37716.35962,36397.73077,38398.32885,37194.2,36183.15,37523.48846,37749.32308,36884.575,38189.78269,36803.34423,36374.35192,36598.55769
X-n106-k14,CARI,50,48,37158.18846,36091.98269,37585.66731,36651.875,37488.20577,37728.40962,37606.02885,36430.10577,37298.47308,36428.67885,38215.25962,36958.85769,36153.73654,37600.21346,37705.60577,36703.85,38417.89615,36773.56731,36252.04808,36379.56923
X-n106-k14,CARI,50,49,37126.10769,35842.83462,37460.10769,36621.78846,37549.76154,37641.45,37248.73846,36322.91923,37021.8,36235.81154,37945.81923,36921.93846,36183.57692,37718.99423,37735.93077,36831.15962,38288.92115,36481.23462,35858.21923,36159.68269
X-n106-k14,CARI,50,50,37298.69423,35609.02115,37190.07115,36614.65577,37537.82885,37402.46154,37152.18654,36694.65962,37026.49808,36270.30962,37858.47115,36848.2,36175.09423,37656.29423,37636.78654,36481.07115,38165.20385,36602.54808,35422.70385,36051.8
X-n106-k14,CA-NN,50,1,28372.63654,28365.36923,28351.94615,28345.70192,28374.775,28366.74808,28368.15962,28368.2,28423.25,28367.99615,28365.75962,28372.84808,28394.78077,28351.4,28349.99615,28360.90192,28365.29615,28369.45577,28348.73077,28360.90192
X-n106-k14,CA-NN,50,2,28371.11346,28356.93269,28391.65,28387.13077,28348.54615,28373.94615,28368.15962,28359.63077,28454.38269,28450.65192,28385.74038,28372.84808,28372.87115,28418.19423,28345.70192,28391.07115,28365.29615,28373.00962,28352.80385,28388.28462
X-n106-k14,CA-NN,50,3,28432.01731,28375.36538,28437.34231,28429.575,28394.44038,28387.74038,28383.47692,28362.67308,28501.64808,28413.65962,28377.37885,28475.97115,28358.10769,28424.76538,28366.14423,28582.32692,28386.34231,28400.87115,28359.68846,28391.07115
X-n106-k14,CA-NN,50,4,28392.88654,28385.90577,28451.04231,28405.05962,28359.25962,28429.60385,28405.45,28391.95577,28564.02308,28527.43654,28404.60769,28409.39615,28359.13846,28465.46538,28396.89231,28487.73654,28519.96154,28400.64038,28372.86346,28376.025
X-n106-k14,CA-NN,50,5,28400.60962,28396.56923,28413.32115,28367.60962,28405.50769,28535.56538,28383.99615,28491.62885,28795.27885,28415.92692,28494.44231,28449.49231,28384.81731,28519.97885,28374.05577,28391.07115,28524.03077,28441.01538,28407.11346,28365.36923
X-n106-k14,CA-NN,50,6,28402.58077,28351.65385,28434.20769,28410.66154,28415.37115,28509.70192,28443.69615,28516.00192,28478.35192,28441.75577,28483.03462,28478.72308,28387.56346,28555.39808,28375.89808,28415.23462,28628.45577,28407.06731,28449.89808,28422.00962
